Survey,date,Site,Plant observed,Plant family,Flower visitor ID,Flower visitor_order,Flower visitor_family,Visitation frequency,flower units observed per plant species,Flower abundance,total area_sampled_m2,Visitor_type 
3,January 2011,SC_C-vias,Eryngium horridum,Apiaceae,Pseudomops neglecta,Blattaria,Blattellidae,1,166,0.83,200,other
3,January 2011,SC_C-vias,Hirschfeldia incana,Brassicaceae,No visits,No visits,No visits,0,16,0.08,200,No visits
3,January 2011,SC_C-vias,Glandularia peruviana,Verbenaceae,No visits,No visits,No visits,0,8,0.04,200,No visits
3,January 2011,SC_C-vias,Eryngium elegans,Apiaceae,No visits,No visits,No visits,0,57,0.285,200,No visits
3,January 2011,SC_C-vias,Verbascum thapsus,Scrophulariaceae,No visits,No visits,No visits,0,9,0.045,200,No visits
3,January 2011,SC_C-vias,Dipsacus sativus,Dipsacaceae,No visits,No visits,No visits,0,4,0.02,200,No visits
4,february 2011,SC_C-vias,Glandularia peruviana,Verbenaceae,No visits,No visits,No visits,0,25,0.125,200,No visits
4,february 2011,SC_C-vias,Dipsacus sativus,Dipsacaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
4,february 2011,SC_C-vias,Hirschfeldia incana,Brassicaceae,No visits,No visits,No visits,0,3,0.015,200,No visits
4,february 2011,SC_C-vias,Diplotaxis tenuifolia,Brassicaceae,No visits,No visits,No visits,0,78,0.39,200,No visits
4,february 2011,SC_C-vias,Eryngium elegans,Apiaceae,No visits,No visits,No visits,0,8,0.04,200,No visits
4,february 2011,SC_C-vias,Baccharis pingraea,Asteraceae,Megachile (Pseudocentron) sp3,Hymenoptera,Megachilidae,1,37,0.185,200,bee
5,March 2011,SC_C-vias,Conyza bonariensis,Asteraceae,Dialictus sp14,Hymenoptera,Halictidae,1,602,3.01,200,bee
5,March 2011,SC_C-vias,Glandularia peruviana,Verbenaceae,No visits,No visits,No visits,0,13,0.065,200,No visits
5,March 2011,SC_C-vias,Solidago chilensis,Asteraceae,Bruchidius endotubercularis ,Coleoptera,Chrysomelidae,2,193,0.965,200,beetle
5,March 2011,SC_C-vias,Solidago chilensis,Asteraceae,Chauliognathus scriptus,Coleoptera,Cantharidae,1,193,0.965,200,beetle
5,March 2011,SC_C-vias,Solidago chilensis,Asteraceae,Curculionidae sp11,Coleoptera,Curculionidae,1,193,0.965,200,beetle
5,March 2011,SC_C-vias,Solidago chilensis,Asteraceae,Curculionidae sp12,Coleoptera,Curculionidae,1,193,0.965,200,beetle
5,March 2011,SC_C-vias,Verbena bonariensis,Verbenaceae,No visits,No visits,No visits,0,28,0.14,200,No visits
5,March 2011,SC_C-vias,Verbena intermedia,Verbenaceae,No visits,No visits,No visits,0,21,0.105,200,No visits
1,November 2010,AN_A-alfa,Adesmia sp,Fabaceae,Psaenythia sp3,Hymenoptera,Andrenidae,2,28,0.14,200,bee
1,November 2010,AN_A-alfa,Conyza bonariensis,Asteraceae,No visits,No visits,No visits,0,33,0.165,200,No visits
1,November 2010,AN_A-alfa,Gaillardia megapotamica,Asteraceae,No visits,No visits,No visits,0,5,0.025,200,No visits
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Apis mellifera,Hymenoptera,Apidae,13,4874,24.37,200,bee
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Astylus quadrilineatus,Coleoptera,Melyridae,1,4874,24.37,200,beetle
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Augochloropsis sp9,Hymenoptera,Halictidae,1,4874,24.37,200,bee
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Bombyliidae sp2,Diptera,Bombyliidae,1,4874,24.37,200,Fly
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Coleoptera sp1,Coleoptera,Coleoptera,1,4874,24.37,200,beetle
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Dialictus sp7,Hymenoptera,Halictidae,1,4874,24.37,200,bee
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Hemipenthes sp4,Diptera,Bombyliidae,1,4874,24.37,200,Fly
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Isepeolus viperinus,Hymenoptera,Apidae,1,4874,24.37,200,bee
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Pseudagapostemon sp1,Hymenoptera,Halictidae,1,4874,24.37,200,bee
1,November 2010,AN_A-alfa,Medicago sativa,Fabaceae,Apis mellifera,Hymenoptera,Apidae,78,9840,49.2,200,bee
1,November 2010,AN_A-alfa,Medicago sativa,Fabaceae,Psaenythia sp3,Hymenoptera,Andrenidae,1,9840,49.2,200,bee
1,November 2010,AN_A-alfa,Medicago sativa,Fabaceae,Vanessa carye,Lepidoptera,Nymphalidae,1,9840,49.2,200,butterfly
1,November 2010,AN_A-alfa,Pfaffia gnaphaloides,Amaranthaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
1,November 2010,AN_A-alfa,Physalis viscosa,Solanaceae,No visits,No visits,No visits,0,4,0.02,200,No visits
1,November 2010,AN_A-alfa,Solanum elaeagnifolium,Solanaceae,No visits,No visits,No visits,0,6,0.03,200,No visits
2,December 2010,AN_A-alfa,Carduus thoermeri,Asteraceae,Apis mellifera,Hymenoptera,Apidae,11,27,0.135,200,bee
2,December 2010,AN_A-alfa,Conyza bonariensis,Asteraceae,No visits,No visits,No visits,0,41,0.205,200,No visits
2,December 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,No visits,No visits,No visits,0,71,0.355,200,No visits
2,December 2010,AN_A-alfa,Medicago sativa,Fabaceae,Apis mellifera,Hymenoptera,Apidae,14,2307,11.535,200,bee
2,December 2010,AN_A-alfa,Medicago sativa,Fabaceae,Euptoieta claudia,Lepidoptera,Nymphalidae,3,2307,11.535,200,butterfly
2,December 2010,AN_A-alfa,Medicago sativa,Fabaceae,Trimeria sp,Hymenoptera,Vespidae,1,2307,11.535,200,other
2,December 2010,AN_A-alfa,Physalis viscosa,Solanaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
2,December 2010,AN_A-alfa,Solanum elaeagnifolium,Solanaceae,No visits,No visits,No visits,0,20,0.1,200,No visits
3,January 2011,AN_A-alfa,Conyza bonariensis,Asteraceae,Tiguipa sp,Hymenoptera,Crabronidae,1,298,1.49,200,other
3,January 2011,AN_A-alfa,Cuscuta sp,Convolvulaceae,Lepidoptera sp1,Lepidoptera,Lepidoptera,1,344,1.72,200,butterfly
3,January 2011,AN_A-alfa,Cuscuta sp,Convolvulaceae,Myzinum sp2,Hymenoptera,Tiphiidae,1,344,1.72,200,other
3,January 2011,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Trimeria sp,Hymenoptera,Vespidae,1,54,0.27,200,other
3,January 2011,AN_A-alfa,Medicago sativa,Fabaceae,Eucerini sp4,Hymenoptera,Apidae,2,1441,7.205,200,bee
3,January 2011,AN_A-alfa,Medicago sativa,Fabaceae,Eurema deva,Lepidoptera,Pieridae,1,1441,7.205,200,butterfly
3,January 2011,AN_A-alfa,Medicago sativa,Fabaceae,Exomalopsis sp1,Hymenoptera,Apidae,1,1441,7.205,200,bee
3,January 2011,AN_A-alfa,Medicago sativa,Fabaceae,Trimeria sp,Hymenoptera,Vespidae,2,1441,7.205,200,other
3,January 2011,AN_A-alfa,Medicago sativa,Fabaceae,Xylocopa splendidula,Hymenoptera,Apidae,1,1441,7.205,200,bee
3,January 2011,AN_A-alfa,Pfaffia gnaphaloides,Amaranthaceae,No visits,No visits,No visits,0,7,0.035,200,No visits
3,January 2011,AN_A-alfa,Physalis viscosa,Solanaceae,No visits,No visits,No visits,0,40,0.2,200,No visits
3,January 2011,AN_A-alfa,Solanum elaeagnifolium,Solanaceae,Exomalopsis sp1,Hymenoptera,Apidae,1,1446,7.23,200,bee
3,January 2011,AN_A-alfa,Solanum elaeagnifolium,Solanaceae,Psaenythia sp3,Hymenoptera,Andrenidae,2,1446,7.23,200,bee
3,January 2011,AN_A-alfa,Thelesperma megapotamicum,Asteraceae,Andrenidae sp2,Hymenoptera,Andrenidae,1,55,0.275,200,bee
3,January 2011,AN_A-alfa,Thelesperma megapotamicum,Asteraceae,Chauliognatus scriptus,Coleoptera,Cantharidae,1,55,0.275,200,beetle
3,January 2011,AN_A-alfa,Thelesperma megapotamicum,Asteraceae,Trachypus petiolatus,Hymenoptera,Crabronidae,2,55,0.275,200,other
3,January 2011,AN_A-alfa,Thelesperma megapotamicum,Asteraceae,Trimeria sp,Hymenoptera,Vespidae,1,55,0.275,200,other
3,January 2011,AN_A-alfa,Turnera sidioides,Turneraceae,Callonychium sp1,Hymenoptera,Andrenidae,1,4,0.02,200,bee
3,January 2011,AN_A-alfa,Turnera sidioides,Turneraceae,Curculionidae sp11,Coleoptera,Curculionidae,2,4,0.02,200,beetle
4,february 2011,AN_A-alfa,Conyza bonariensis,Asteraceae,Bombyliidae sp5,Diptera,Bombyliidae,1,6394,31.97,200,Fly
4,february 2011,AN_A-alfa,Conyza bonariensis,Asteraceae,Cerceris sp13,Hymenoptera,Crabronidae,1,6394,31.97,200,other
4,february 2011,AN_A-alfa,Conyza bonariensis,Asteraceae,Melissodes rufithorax,Hymenoptera,Apidae,1,6394,31.97,200,bee
4,february 2011,AN_A-alfa,Conyza bonariensis,Asteraceae,Myzinum sp2,Hymenoptera,Tiphiidae,1,6394,31.97,200,other
4,february 2011,AN_A-alfa,Conyza bonariensis,Asteraceae,Oxybelus sp7,Hymenoptera,Crabronidae,1,6394,31.97,200,other
4,february 2011,AN_A-alfa,Gaillardia megapotamica,Asteraceae,No visits,No visits,No visits,0,5,0.025,200,No visits
4,february 2011,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Melissodes rufithorax,Hymenoptera,Apidae,1,46,0.23,200,bee
4,february 2011,AN_A-alfa,Medicago sativa,Fabaceae,Apis mellifera,Hymenoptera,Apidae,24,6607,33.035,200,bee
4,february 2011,AN_A-alfa,Medicago sativa,Fabaceae,Centris tricolor,Hymenoptera,Apidae,1,6607,33.035,200,bee
4,february 2011,AN_A-alfa,Medicago sativa,Fabaceae,Eucerini sp5,Hymenoptera,Apidae,1,6607,33.035,200,bee
4,february 2011,AN_A-alfa,Medicago sativa,Fabaceae,Hylephila phyleus,Lepidoptera,Hesperiidae,2,6607,33.035,200,butterfly
4,february 2011,AN_A-alfa,Medicago sativa,Fabaceae,Pyrgus communis,Lepidoptera,Hesperiidae,1,6607,33.035,200,butterfly
4,february 2011,AN_A-alfa,Medicago sativa,Fabaceae,Xylocopa ordinaria,Hymenoptera,Apidae,1,6607,33.035,200,bee
4,february 2011,AN_A-alfa,Physalis viscosa,Solanaceae,Psaenythia sp3,Hymenoptera,Andrenidae,1,4,0.02,200,bee
4,february 2011,AN_A-alfa,Salsola Kali,Chenopodiaceae,Apis mellifera,Hymenoptera,Apidae,10,15573,77.865,200,bee
4,february 2011,AN_A-alfa,Salsola Kali,Chenopodiaceae,Myzinum sp6,Hymenoptera,Tiphiidae,1,15573,77.865,200,other
4,february 2011,AN_A-alfa,Salsola Kali,Chenopodiaceae,Psaenythia sp3,Hymenoptera,Andrenidae,1,15573,77.865,200,bee
4,february 2011,AN_A-alfa,Schkuhria pinnata,Asteraceae,No visits,No visits,No visits,0,6593,32.965,200,No visits
5,March 2011,AN_A-alfa,Conyza bonariensis,Asteraceae,No visits,No visits,No visits,0,154,0.77,200,No visits
5,March 2011,AN_A-alfa,Cuscuta sp,Convolvulaceae,No visits,No visits,No visits,0,12,0.06,200,No visits
5,March 2011,AN_A-alfa,Schkuhria pinnata,Asteraceae,No visits,No visits,No visits,0,469,2.345,200,No visits
1,November 2010,AN_A-pas,Descuraina argentina,Brassicaceae,No visits,No visits,No visits,0,7,0.035,200,No visits
1,November 2010,AN_A-pas,Geranium sp,Geraniaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
1,November 2010,AN_A-pas,Hirschfeldia incana,Brassicaceae,Astylus quadrilineatus,Coleoptera,Melyridae,6,21,0.105,200,beetle
1,November 2010,AN_A-pas,Vicia linearifolia,Fabaceae,No visits,No visits,No visits,0,20,0.1,200,No visits
2,December 2010,AN_A-pas,Clematis montevidensis,Ranunculaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
2,December 2010,AN_A-pas,Solanum elaeagnifolium,Solanaceae,No visits,No visits,No visits,0,6,0.03,200,No visits
2,December 2010,AN_A-pas,Hirschfeldia incana,Brassicaceae,No visits,No visits,No visits,0,25,0.125,200,No visits
2,December 2010,AN_A-pas,Rapistrum rugosum,Brassicaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
3,January 2011,AN_A-pas,Carduus acanthoides,Asteraceae,Augochloropsis sp9,Hymenoptera,Halictidae,1,4,0.02,200,bee
3,January 2011,AN_A-pas,Hirschfeldia incana,Brassicaceae,No visits,No visits,No visits,0,23,0.115,200,No visits
3,January 2011,AN_A-pas,Cirsium vulgare,Asteraceae,No visits,No visits,No visits,0,1,0.005,200,No visits
3,January 2011,AN_A-pas,Centaurea solstitialis,Asteraceae,No visits,No visits,No visits,0,1,0.005,200,No visits
4,february 2011,AN_A-pas,Carduus acanthoides,Asteraceae,Megachile (Acentron) sp3,Hymenoptera,Megachilidae,1,10,0.05,200,bee
4,february 2011,AN_A-pas,Carduus acanthoides,Asteraceae,Tatochila sp,Lepidoptera,Pieridae,1,10,0.05,200,butterfly
4,february 2011,AN_A-pas,Conyza bonariensis,Asteraceae,Cerceris sp13,Hymenoptera,Crabronidae,2,684,3.42,200,other
4,february 2011,AN_A-pas,Conyza bonariensis,Asteraceae,Cerceris sp14,Hymenoptera,Crabronidae,1,684,3.42,200,other
4,february 2011,AN_A-pas,Conyza bonariensis,Asteraceae,Lygaeidae sp1,Hemiptera,Lygaeidae,1,684,3.42,200,other
4,february 2011,AN_A-pas,Conyza bonariensis,Asteraceae,Tachysphex sp,Hymenoptera,Crabronidae,1,684,3.42,200,other
4,february 2011,AN_A-pas,Gamochaeta sp,Asteraceae,No visits,No visits,No visits,0,36,0.18,200,No visits
4,february 2011,AN_A-pas,Hirschfeldia incana,Brassicaceae,No visits,No visits,No visits,0,8,0.04,200,No visits
5,March 2011,AN_A-pas,Cirsium vulgare,Asteraceae,No visits,No visits,No visits,0,5,0.025,200,No visits
5,March 2011,AN_A-pas,Carduus acanthoides,Asteraceae,No visits,No visits,No visits,0,5,0.025,200,No visits
5,March 2011,AN_A-pas,Gamochaeta sp,Asteraceae,No visits,No visits,No visits,0,21,0.105,200,No visits
5,March 2011,AN_A-pas,Conyza bonariensis,Asteraceae,Bombyliidae sp5,Diptera,Bombyliidae,1,1530,7.65,200,Fly
5,March 2011,AN_A-pas,Conyza bonariensis,Asteraceae,Dialictus sp8,Hymenoptera,Halictidae,1,1530,7.65,200,bee
5,March 2011,AN_A-pas,Hirschfeldia incana,Brassicaceae,No visits,No visits,No visits,0,9,0.045,200,No visits
5,March 2011,AN_A-pas,Pfaffia gnaphaloides,Amaranthaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
1,November 2010,AN_C-alfa,Condalia microphylla,Rhamnaceae,Ammophila sp,Hymenoptera,Sphecidae,1,38778,193.89,200,other
1,November 2010,AN_C-alfa,Condalia microphylla,Rhamnaceae,Colletes sp4,Hymenoptera,Colletidae,1,38778,193.89,200,bee
1,November 2010,AN_C-alfa,Marrubium vulgare,Lamiaceae,Coelioxys sp,Hymenoptera,Megachilidae,1,6,0.03,200,bee
1,November 2010,AN_C-alfa,Nierembergia aristata,Solanaceae,No visits,No visits,No visits,0,39,0.195,200,No visits
1,November 2010,AN_C-alfa,Pfaffia gnaphaloides,Amaranthaceae,No visits,No visits,No visits,0,11,0.055,200,No visits
1,November 2010,AN_C-alfa,Rhynchosia senna,Fabaceae,No visits,No visits,No visits,0,45,0.225,200,No visits
1,November 2010,AN_C-alfa,Solanum juvenale,Solanaceae,Astylus quadrilineatus,Coleoptera,Melyridae,1,347,1.735,200,beetle
1,November 2010,AN_C-alfa,Sphaeralcea crispa,Malvaceae,Astylus sp1,Coleoptera,Melyridae,1,30,0.15,200,beetle
1,November 2010,AN_C-alfa,Sphaeralcea crispa,Malvaceae,Callonychium sp1,Hymenoptera,Andrenidae,1,30,0.15,200,bee
1,November 2010,AN_C-alfa,Sphaeralcea crispa,Malvaceae,Dialictus sp5,Hymenoptera,Halictidae,1,30,0.15,200,bee
1,November 2010,AN_C-alfa,Sphaeralcea crispa,Malvaceae,Rophitulus sp,Hymenoptera,Andrenidae,5,30,0.15,200,bee
1,November 2010,AN_C-alfa,Turnera sidioides,Turneraceae,No visits,No visits,No visits,0,3,0.015,200,No visits
2,December 2010,AN_C-alfa,Sphaeralcea crispa,Malvaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
3,January 2011,AN_C-alfa,no florwers,no florwers,No visits,No visits,No visits,0,0,0,200,No visits
4,february 2011,AN_C-alfa,no florwers,no florwers,No visits,No visits,No visits,0,0,0,200,No visits
5,March 2011,AN_C-alfa,Bidens pilosa,Asteraceae,No visits,No visits,No visits,0,476,2.38,200,No visits
1,November 2010,AN_C-pas,Aloysia gratissima,Verbenaceae,No visits,No visits,No visits,0,30,0.15,200,No visits
1,November 2010,AN_C-pas,Clematis montevidensis,Ranunculaceae,Astylus sp1,Coleoptera,Melyridae,1,24,0.12,200,beetle
1,November 2010,AN_C-pas,Clematis montevidensis,Ranunculaceae,Pachyminixi sp.,Hymenoptera,Vespidae,1,24,0.12,200,other
1,November 2010,AN_C-pas,Condalia microphylla,Rhamnaceae,No visits,No visits,No visits,0,2664,13.32,200,No visits
1,November 2010,AN_C-pas,Glandularia hookeriana,Verbenaceae,No visits,No visits,No visits,0,6,0.03,200,No visits
1,November 2010,AN_C-pas,Lycium chilense,Solanaceae,No visits,No visits,No visits,0,6,0.03,200,No visits
1,November 2010,AN_C-pas,Nierembergia aristata,Solanaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
1,November 2010,AN_C-pas,Pfaffia gnaphaloides,Amaranthaceae,No visits,No visits,No visits,0,12,0.06,200,No visits
1,November 2010,AN_C-pas,Prosopidastrum globosum,Fabaceae,No visits,No visits,No visits,0,24,0.12,200,No visits
1,November 2010,AN_C-pas,Discaria sp,Rhamnaceae,No visits,No visits,No visits,0,380,1.9,200,No visits
1,November 2010,AN_C-pas,Rhynchosia senna,Fabaceae,Dialictus sp4,Hymenoptera,Halictidae,1,473,2.365,200,bee
1,November 2010,AN_C-pas,Rhynchosia senna,Fabaceae,Dialictus sp8,Hymenoptera,Halictidae,1,473,2.365,200,bee
1,November 2010,AN_C-pas,Solanum elaeagnifolium,Solanaceae,No visits,No visits,No visits,0,28,0.14,200,No visits
1,November 2010,AN_C-pas,Solanum juvenale,Solanaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
1,November 2010,AN_C-pas,Turnera sidioides,Turneraceae,No visits,No visits,No visits,0,1,0.005,200,No visits
1,November 2010,AN_C-pas,Viguiera anchusaefolia,Asteraceae,Ammophila sp,Hymenoptera,Sphecidae,1,53,0.265,200,other
1,November 2010,AN_C-pas,Viguiera anchusaefolia,Asteraceae,Astylus quadrilineatus,Coleoptera,Melyridae,1,53,0.265,200,beetle
1,November 2010,AN_C-pas,Viguiera anchusaefolia,Asteraceae,Bruchidius endotubercularis ,Coleoptera,Chrysomelidae,4,53,0.265,200,beetle
1,November 2010,AN_C-pas,Viguiera anchusaefolia,Asteraceae,Callonychium sp1,Hymenoptera,Andrenidae,1,53,0.265,200,bee
1,November 2010,AN_C-pas,Viguiera anchusaefolia,Asteraceae,Chrysopidae sp1,Neuroptera,Chrysopidae,7,53,0.265,200,other
1,November 2010,AN_C-pas,Viguiera anchusaefolia,Asteraceae,Dialictus sp5,Hymenoptera,Halictidae,1,53,0.265,200,bee
2,December 2010,AN_C-pas,Bidens pilosa,Asteraceae,No visits,No visits,No visits,0,20,0.1,200,No visits
2,December 2010,AN_C-pas,Baccharis gilliesii,Asteraceae,Bombyliidae sp6,Diptera,Bombyliidae,1,119,0.595,200,Fly
2,December 2010,AN_C-pas,Pfaffia gnaphaloides,Amaranthaceae,No visits,No visits,No visits,0,13,0.065,200,No visits
2,December 2010,AN_C-pas,Prosopidastrum globosum,Fabaceae,No visits,No visits,No visits,0,24,0.12,200,No visits
3,January 2011,AN_C-pas,Aloysia gratissima,Verbenaceae,Xylocopa splendidula,Hymenoptera,Apidae,1,289,1.445,200,bee
3,January 2011,AN_C-pas,Baccharis ulicina,Asteraceae,Ammophila sp,Hymenoptera,Sphecidae,1,31,0.155,200,other
3,January 2011,AN_C-pas,Glandularia hookeriana,Verbenaceae,No visits,No visits,No visits,0,15,0.075,200,No visits
3,January 2011,AN_C-pas,Bidens pilosa,Asteraceae,No visits,No visits,No visits,0,4,0.02,200,No visits
3,January 2011,AN_C-pas,Nierembergia aristata,Solanaceae,No visits,No visits,No visits,0,5,0.025,200,No visits
3,January 2011,AN_C-pas,Pfaffia gnaphaloides,Amaranthaceae,No visits,No visits,No visits,0,5,0.025,200,No visits
3,January 2011,AN_C-pas,Rhynchosia senna,Fabaceae,No visits,No visits,No visits,0,18,0.09,200,No visits
3,January 2011,AN_C-pas,Solanum elaeagnifolium,Solanaceae,No visits,No visits,No visits,0,3,0.015,200,No visits
3,January 2011,AN_C-pas,Solanum juvenale,Solanaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
3,January 2011,AN_C-pas,Sphaeralcea crispa,Malvaceae,Andrenidae sp2,Hymenoptera,Andrenidae,1,1,0.005,200,bee
3,January 2011,AN_C-pas,Thelesperma megapotamicum,Asteraceae,Bruchidius endotubercularis ,Coleoptera,Chrysomelidae,3,4,0.02,200,beetle
4,february 2011,AN_C-pas,Baccharis ulicina,Asteraceae,Ammophila sp,Hymenoptera,Sphecidae,1,3874,19.37,200,other
4,february 2011,AN_C-pas,Baccharis ulicina,Asteraceae,Andrenidae sp3,Hymenoptera,Andrenidae,1,3874,19.37,200,bee
4,february 2011,AN_C-pas,Baccharis ulicina,Asteraceae,Augochloropsis sp.7,Hymenoptera,Halictidae,1,3874,19.37,200,bee
4,february 2011,AN_C-pas,Baccharis ulicina,Asteraceae,Bombyliidae sp8,Diptera,Bombyliidae,1,3874,19.37,200,Fly
4,february 2011,AN_C-pas,Baccharis ulicina,Asteraceae,Colletes bicolor,Hymenoptera,Colletidae,1,3874,19.37,200,bee
4,february 2011,AN_C-pas,Baccharis ulicina,Asteraceae,Colletes sp4,Hymenoptera,Colletidae,2,3874,19.37,200,bee
